name,website,place_id,city,state,status,phones,emails,services,raw_services,service_areas,trust_signals,socials,has_photo_gallery,has_contact_form,title,meta_description
Hardcore Epoxy Flooring & Basement Waterproofing,https://www.hardcoreepoxyflooringdetroit.com,,Detroit,MI,ok,(734) 675-6554,hardcoreepoxyfloor@gmail.com,commercial; concrete_repair; epoxy_flake; metallic_epoxy; polyaspartic; residential,"20+ Years. 1,000+ Floors.One Owner.; Basement Coatings; Basement Epoxy; Basement Epoxy Flooring; Commercial Epoxy; Commercial Epoxy Flooring; Commercial Floors; Concrete Coatings; Concrete Crack Repair; Concrete Floor Coatings; Garage Coatings; Garage Epoxy; Garage Epoxy Flooring; Garage Floor Coatings; Polyaspartic; Polyaspartic Floor Coatings; Ready to Transform Your Floor?; Residential Epoxy; Residential Epoxy Flooring",,"{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}",{},True,True,"Hardcore Epoxy Flooring & Basement Waterproofing Detroit | 20+ Years, 1,000+ Floors, 1,100+ Basements | (734) 675-6554","Detroit's most experienced epoxy flooring AND basement waterproofing contractor. 20+ years, 1,000+ floors installed, 1,100+ basements waterproofed since 2004. Garage epoxy, basement waterproofing (interior drainage + polyurethane crack injection), commercial flooring & RaceDeck across Wayne County. "
MACH ONE Epoxy Floors,https://www.mach1epoxy.com,,Detroit,MI,ok,(888) 696-2241,,commercial; concrete_polish; concrete_repair; epoxy_flake; metallic_epoxy; polyaspartic; polyurea; pool_deck; residential,Barn & Workshop Epoxy; Basement Epoxy; Coating Removal for Industrial & Commercial Slabs; Commercial Concrete Crack Repair; Commercial Concrete Polishing; Commercial Epoxy Floor Removal; Commercial Epoxy Flooring; Commercial Rubber Flooring; Decks and Patio Epoxy; Garage Floor Epoxy; Pool Deck Coatings; Residential Concrete Crack Repair; Residential Concrete Polishing; Residential Epoxy Flooring; Rubber Flooring for Homes; The Science of Diamond Grinding Your Concrete,"Boutique in Savannah, TN; Car Condo in Waterford, MI; Casemate Museum in Fort Monroe, VA; Flake Patio in New Baltimore, MI; Floor for Homeowner in Odessa, FL; Garage in New Caney, TX; Homeowner Garage in Kansas City, MO; Mirela Garage in Clermont, FL; Oil Change in Fort Worth, TX; Plastic Solutions in Bradenton, FL; Repair Project in Grapevine, TX","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 73}","{""facebook"": ""https://www.facebook.com/MACHONEEpoxyFloorsCorporate"", ""linkedin"": ""https://www.linkedin.com/company/mach-one-franchise-group-llc/"", ""x"": ""https://x.com/mach1epoxy""}",True,True,The Leader in Epoxy Flooring | MACH ONE®,"MACH ONE is a Veteran-only Franchise specializing in epoxy floor finishes, concrete repair, and concrete sealing. Using only state-of-the-art equipment and high-quality materials, we aim to preserve your concrete floors for years to come. Find a location near you to get started!"
GatorGuard Detroit,https://www.mygatorguard.com,,Detroit,MI,ok,(888) 863-7710,info@mygatorguard.com,concrete_polish; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; polyurea; pool_deck; residential,20% OFF ALL FLOORS0% Interest Financing Available; Basement Floor Coatings; Coating; Coating Samples; Commercial Floor Coatings; Concrete Coatings; Epoxy Floor Coatings; ExploreGatorGuardCoating Systems; GalleryCoating Samples; Garage Floor Coatings; Metallic Art Coatings; Polyaspartic Floor Coating; Pool Deck Coatings; Ready to Transform Your Concrete Surfaces?; We Move. We Store. We Floor!,"Columbus, OH; Detroit, MI; Grand Rapids, MI; Indianapolis, IN; Louisville, KY; Service Locations Cincinnati, OH; St. Louis, MO","{""licensed"": true, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": true, ""years_in_business"": null}","{""facebook"": ""https://facebook.com/GatorGuardCoatings"", ""x"": ""https://twitter.com/mygatorguard"", ""instagram"": ""https://instagram.com/mygatorguard/"", ""youtube"": ""https://youtube.com/@GatorGuardConcreteCoatings"", ""linkedin"": ""https://linkedin.com/company/gatorguard-concrete-coatings""}",True,False,Epoxy Flooring | GatorGuard Concrete Coatings,"GatorGuard is a leading installer of beautiful, ultra-durable interior and exterior concrete coating solutions."
Epoxy Flooring Detroit,https://www.epoxyflooringdetroit.com,,Detroit,MI,ok,(313) 241-5722,info@epoxyflooringdetroit.com,commercial; concrete_polish; concrete_stain; metallic_epoxy; residential,Aircraft Hangar Epoxy Flooring; Auto Shop Flooring; Commercial Epoxy Flooring Repair; Concrete Coating; Concrete Polishing FAQ; Concrete Resurfacing; Distribution Center Epoxy Flooring; Educational Epoxy Flooring; Epoxy Flooring FAQ’s; FAQ’sConcrete Polishing FAQEpoxy Flooring FAQ’s; Factory Epoxy Flooring; Food Industry Epoxy Flooring; Garage Floor Epoxy; Machine Shop Epoxy Flooring; Medical Facility Epoxy Flooring; Other Industrial Floors; Polished Concrete Contractors; Residential Epoxy Flooring; Retail Store Flooring; Warehouse Epoxy Flooring,"Detroit, MI; Easy To Maintain Our Detroit, MI; Epoxy Flooring Detroit, MI; Flooring Contractor Detroit, MI","{""licensed"": true, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 20}","{""x"": ""https://www.epoxyphoenix.com/""}",False,True,Epoxy Flooring Detroit | Industrial & Commercial Epoxy Flooring,"Highest rated commercial and industrial epoxy flooring epoxy flooring company in Detroit, MI. Our clients are very important to us, which is why we always take the time to listen and learn exactly what our clients want so we can deliver nothing short of their expectations. Give us a call today!"
Simax Epoxy Solutions,https://simaxepoxy.com,,Detroit,MI,ok,(248) 220-4236,,epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; residential,Decorative Epoxy; Epoxy Flooring Services; Epoxy Services; Exterior Epoxy Flooring Solutions; Exterior Epoxy Service: Enhance Your Outdoor Areas; Upgrade Your Outdoor Areas with Simax Epoxy Solutions,"Shelby Twp, MI","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/simaxepoxy/"", ""instagram"": ""https://www.instagram.com/simaxepoxy/""}",True,False,Michigan's Epoxy Flooring Experts - Simax Epoxy Solutions,"Discover durable, long-lasting epoxy flooring with Simax Epoxy Solutions in Michigan. Premium quality for residential & commercial floors."
CityWide Epoxy Coating USA,https://www.citywideepoxycoatingusa.com,,Detroit,MI,ok,(248) 396-1185,info@mysite.com; citywideepoxy@gmail.ca; citywideepoxyusa@gmail.com,commercial; metallic_epoxy; polyaspartic; residential,,"Oxford, MI; Rochester, MI; Township, MI","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/citywideepoxycoatinginc/""}",False,True,Epoxy Flooring Installers in Metro Detroit | CITYWIDE EPOXY COATING USA,Commerical and industrial epoxy coating services in Metro-Detroit. 100% solid epoxy and polyaspartic coating systems. Competitve pricing all year round. Call us now for a free quote.
North American Coating Solutions,https://www.northamericancoatingsolutions.com,,Shelby Township,MI,ok,(586) 226-9416,ed@wecoatconcrete.com; vas@nacoatingsolutions.com,commercial; concrete_polish; residential,Commercial Epoxy Floors; Concrete Floor Repair; Concrete Floor Restoration; Concrete Grinding; Concrete Polishing; Concrete Shot Blasting; EPOXY COLOR CHIPS; ESD Epoxy Floors; Epoxy Coating; Epoxy Floors; Epoxy Garages; Floor Coating Removal; Industrial Epoxy Flooring; Industrial Floor Coatings; Industrial Floor Coverings; Industrial Floor Repair; Industrial Flooring Installation,"Hall Court Shelby Township, MI; Shelby Township, MI","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://facebook.com/northamericancoatingsolutions"", ""youtube"": ""https://www.youtube.com/@Nacoatingsolutions""}",False,True,"Coating Solutions | Shelby Township, MI  | 586-226-9416",We at North American Coating Solutions are your source for coating solution in Michigan. Contact us today for all of your floor coating needs!
New Day Detroit Construction,https://www.newdaydetroit.com,,Detroit,MI,ok,(313) 499-8891,info@newdaydetroit.com; newday@att.net; erin@newdaydetroitcwf.com; nfo@newdaydetroit.com,concrete_stain; countertops,"Berkley MI Epoxy Floor Coating; Canton MI Epoxy Floor Coating; Clean Walls, Sharp Lines, Protected Floors; Concrete Staining & Epoxy Floors; Detroit MI Epoxy Floor Coating; Eastpointe MI Epoxy Floor Coating; Epoxy Floor Coating; Epoxy Floor Coating Services; Farmington MI Epoxy Floor Coating; Ferndale MI Epoxy Floor Coating; Floor protection; Garden City MI Epoxy Floor Coating; Grosse Pointe MI Epoxy Floor Coating; Livonia MI Epoxy Floor Coating; Oak Park MI Epoxy Floor Coating; Redford MI Epoxy Floor Coating; Royal Oak MI Epoxy Floor Coating; Southfield MI Epoxy Floor Coating; West Bloomfield MI Epoxy Floor Coating","Cabinet Painters Berkley, MI; Cabinet Painters Canton, MI; Cabinet Painters Detroit, MI; Cabinet Painters Eastpoint, MI; Changed The Entire Room Livonia, MI; Detroit, MI; Epoxy Floor Coating Berkley, MI; Epoxy Floor Coating Canton, MI; Epoxy Floor Coating Detroit, MI; Epoxy Floor Coating Eastpointe, MI; Epoxy Floor Coating Farmington, MI; Epoxy Floor Coating Ferndale, MI; Epoxy Floor Coating Garden City, MI; Epoxy Floor Coating Livonia, MI; Epoxy Floor Coating Oak Park, MI; Epoxy Floor Coating Redford, MI; Epoxy Floor Coating Royal Oak, MI; Epoxy Floor Coating Southfield, MI; Exterior House Painters Berkley, MI; Floor Coating Grosse Pointe, MI; Floor Coating West Bloomfield, MI; For A Brighter Home Royal Oak, MI; House Painter Canton, MI; House Painter Detroit, MI; House Painter Eastpoint, MI; House Painter Farmington, MI; House Painter Ferndale, MI; House Painter Garden City, MI; House Painter Grosse Pointe, MI; House Painter Livonia, MI; House Painter Oak Park, MI; House Painter Redford, MI; House Painter Royal Oak, MI; House Painter Southfield, MI; House Painter West Bloomfield, MI; Livonia, MI; Royal Oak, MI; Southfield, MI; The Charm of Garden City, MI; Transformation Southfield, MI","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""https://www.facebook.com/newdaydetroit"", ""instagram"": ""http://instagram.com/newdaydetroit""}",False,True,Metro Detroit Painter & Remodeler | 20+ Years | (313) 499-8891,"Metro Detroit's trusted painter & home remodeler for 20+ years. Interior/exterior painting, kitchen & bath remodeling. FREE estimates! Call (313) 499-8891 now!"
GM Painting & Epoxy Floors Inc,https://gmpaintingepoxyfloors.com,,Detroit,MI,ok,(820) 442-7837; (248) 442-7837,harry@gmpaintinginc.com; info@gmpaintingepoxyfloors.com,commercial; concrete_polish; metallic_epoxy; residential,Commercial Epoxy Flooring; Concrete Polishing; ESD Flooring; Epoxy Flooring; Garage Floors; Industrial Epoxy Flooring; Industrial Epoxy Floors; Info@gmpaintingepoxyfloors.com; info@gmpaintingepoxyfloors.com,"Detroit, MI; Epoxy Flooring In Detroit, MI; Novi, MI; Schoolcraft Rd Livonia, MI; Schoolcraft Rd, MI","{""licensed"": true, ""insured"": true, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/GMPAINTINGINCMICHIGAN/"", ""linkedin"": ""https://www.linkedin.com/company/gm-painting-inc/?viewAsMember=true"", ""youtube"": ""https://www.youtube.com/@GMPAINTINGEPOXYFLOORSINC""}",True,True,Epoxy Flooring Detroit MI - GM Painting & Epoxy Floors Inc,GM Painting & Epoxy Floors Inc is your local epoxy flooring contractor in the Detroit MI and surrounding areas. Call us for a quote today!
AZ Garage Floors,https://azgaragefloors.com,,Phoenix,AZ,ok,(602) 254-3363,austin@azgaragefloors.com,commercial; epoxy_flake; metallic_epoxy; polyaspartic; polyurea; pool_deck; residential,Aircraft Hangar Flooring; Commercial Epoxy Floor Coatings; Epoxy; Floor Coatings; Garage Floor Coatings; Polyaspartic; Polyaspartic vs. Epoxy; Polyurea; Pool Deck Coating; Residential Epoxy Floor Coatings; Residential Garage Floors; Warehouse Epoxy Flooring; austin@azgaragefloors.com,"North Scottsdale, DC; Queen Creek Estate, RV; W Hillcrest Blvd Buckeye, AZ","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 5}","{""facebook"": ""https://www.facebook.com/profile.php?id=61579017957744"", ""instagram"": ""https://www.instagram.com/azgaragefloors/""}",False,True,Epoxy & Polyaspartic Floor Coatings in Arizona | AZ Garage Floors,"Premium polyaspartic, polyurea & epoxy floor coating systems in Arizona — UV-stable, never-yellow finishes for garages, patios & commercial floors. Family-owned since 1995. Free quotes."
